function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_confstr	c:@F@p101_confstr	POSIX	libraries/lib_host/src/host.c	libraries/lib_host/include/p101_host/host.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	confstr	c:@F@confstr
p101_getdomainname	c:@F@p101_getdomainname	common-Unix	libraries/lib_host/src/host.c	libraries/lib_host/include/p101_host/host.h	libraries/lib_unix/src/unistd.c	libraries/lib_unix/include/p101_unix/p101_unistd.h	yes	yes	yes	getdomainname	c:@F@getdomainname
p101_gethostid	c:@F@p101_gethostid	XSI	libraries/lib_host/src/host.c	libraries/lib_host/include/p101_host/host.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h	yes	yes	yes	gethostid	c:@F@gethostid
p101_gethostname	c:@F@p101_gethostname	POSIX	libraries/lib_host/src/host.c	libraries/lib_host/include/p101_host/host.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	gethostname	c:@F@gethostname
p101_getloadavg	c:@F@p101_getloadavg	common-Unix	libraries/lib_host/src/host.c	libraries/lib_host/include/p101_host/host.h	libraries/lib_unix/src/stdlib.c	libraries/lib_unix/include/p101_unix/p101_stdlib.h	yes	yes	yes	getloadavg	c:@F@getloadavg
p101_setdomainname	c:@F@p101_setdomainname	common-Unix	libraries/lib_host/src/host.c	libraries/lib_host/include/p101_host/host.h	libraries/lib_unix/src/unistd.c	libraries/lib_unix/include/p101_unix/p101_unistd.h	yes	yes	yes	setdomainname	c:@F@setdomainname
p101_sysconf	c:@F@p101_sysconf	POSIX	libraries/lib_host/src/host.c	libraries/lib_host/include/p101_host/host.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	sysconf	c:@F@sysconf
p101_uname	c:@F@p101_uname	POSIX	libraries/lib_host/src/host.c	libraries/lib_host/include/p101_host/host.h	libraries/lib_posix/src/sys/utsname.c	libraries/lib_posix/include/p101_posix/sys/p101_utsname.h	yes	yes	yes	uname	c:@F@uname
